               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.083811,            0.008952,            0.016085,             0.35726,             0.35714,             0.26535,            0.079058,             0.08568,            0.014856,            0.017948,            0.008317,            0.008317,            0.008317
                  70,            0.084132,           0.0094807,            0.017286,             0.46479,             0.25723,              0.2194,            0.081995,            0.086864,            0.014515,            0.018282,           0.0082922,           0.0082922,           0.0082922
                  71,            0.079709,           0.0097299,            0.015224,             0.50646,             0.35714,             0.25879,            0.071059,            0.085616,            0.014474,            0.018456,           0.0082675,           0.0082675,           0.0082675
                  72,            0.083158,           0.0088964,            0.019301,              0.4469,              0.2585,             0.20694,            0.062547,            0.083102,            0.015188,            0.018669,           0.0082428,           0.0082428,           0.0082428
                  73,            0.077832,           0.0095628,            0.019434,             0.55795,             0.37755,             0.23998,            0.091399,            0.087742,            0.014967,              0.0207,            0.008218,            0.008218,            0.008218
                  74,            0.084665,            0.011045,             0.01651,              0.4622,             0.32666,             0.25723,             0.07344,            0.085416,            0.015553,            0.019263,           0.0081932,           0.0081932,           0.0081932
                  75,            0.080904,           0.0095806,             0.01809,             0.88298,             0.22153,             0.30413,            0.062473,            0.085824,             0.01503,            0.019819,           0.0081685,           0.0081685,           0.0081685
                  76,            0.079447,           0.0096611,            0.016803,             0.57981,             0.22387,             0.22395,            0.056055,            0.085078,            0.014366,            0.022724,           0.0081437,           0.0081437,           0.0081437
                  77,            0.077753,           0.0086186,             0.01795,             0.71561,             0.22308,             0.27685,            0.089501,             0.08511,            0.014624,            0.022085,            0.008119,            0.008119,            0.008119
                  78,             0.08115,           0.0097152,            0.016034,             0.52801,             0.10714,             0.10434,            0.040676,             0.09156,            0.013615,            0.021819,           0.0080942,           0.0080942,           0.0080942
                  79,            0.081768,           0.0086111,            0.023388,             0.62746,             0.20484,             0.23422,            0.068865,            0.090951,            0.013228,            0.024155,           0.0080695,           0.0080695,           0.0080695
                  80,            0.077981,           0.0089447,            0.016196,             0.67728,             0.21088,              0.3087,            0.088334,            0.097573,            0.012239,            0.025488,           0.0080447,           0.0080447,           0.0080447
                  81,            0.079334,           0.0080391,            0.020239,             0.55174,            0.091837,              0.1668,            0.049004,             0.09578,            0.012886,            0.022685,             0.00802,             0.00802,             0.00802
                  82,            0.079727,           0.0092093,            0.019249,             0.81454,            0.079932,                0.15,            0.043296,            0.092447,            0.013639,            0.019872,           0.0079953,           0.0079953,           0.0079953
                  83,            0.082097,           0.0093508,            0.015645,             0.65958,             0.19048,             0.28257,            0.076238,            0.091215,            0.014591,            0.021826,           0.0079705,           0.0079705,           0.0079705
                  84,            0.078926,           0.0087825,            0.015925,             0.71231,             0.22619,             0.31415,            0.086967,            0.092589,             0.01416,            0.023079,           0.0079457,           0.0079457,           0.0079457
                  85,            0.075742,            0.010523,            0.014738,              0.6817,             0.23963,             0.24116,            0.082042,            0.094131,            0.014024,            0.023234,            0.007921,            0.007921,            0.007921
                  86,            0.074786,           0.0099826,            0.016992,             0.65411,             0.22279,              0.2441,            0.078281,            0.099435,            0.014428,            0.025493,           0.0078963,           0.0078963,           0.0078963
                  87,            0.082085,           0.0097029,              0.0151,             0.60354,             0.12415,              0.1285,            0.041589,             0.09453,            0.014416,            0.025475,           0.0078715,           0.0078715,           0.0078715
                  88,            0.078514,           0.0099969,            0.015981,             0.95127,             0.20238,             0.22822,            0.056251,            0.091392,            0.013806,            0.023491,           0.0078467,           0.0078467,           0.0078467
                  89,            0.077314,           0.0096556,            0.015447,             0.97957,             0.19048,             0.23154,            0.061051,            0.091954,            0.014996,            0.026762,            0.007822,            0.007822,            0.007822
                  90,            0.075184,           0.0099804,            0.016385,             0.82879,             0.21815,              0.2349,            0.066931,            0.094534,            0.014406,            0.023584,           0.0077973,           0.0077973,           0.0077973
                  91,             0.07804,           0.0086008,            0.015696,              0.8731,             0.11905,            0.092983,             0.02927,            0.097989,            0.013929,            0.024919,           0.0077725,           0.0077725,           0.0077725
                  92,            0.076835,           0.0098101,            0.014879,             0.81503,             0.13946,             0.19546,            0.071336,            0.091905,            0.012556,            0.021154,           0.0077478,           0.0077478,           0.0077478
                  93,            0.078302,           0.0095274,             0.01611,             0.92332,             0.21088,             0.29302,             0.10272,            0.089972,            0.012538,            0.020713,            0.007723,            0.007723,            0.007723
                  94,            0.076169,            0.009282,            0.015992,             0.72245,             0.26651,             0.30831,             0.13269,            0.084323,            0.013403,            0.018673,           0.0076983,           0.0076983,           0.0076983
                  95,            0.073841,           0.0093098,            0.018727,             0.64117,             0.22279,             0.23187,            0.085508,            0.087281,            0.013977,            0.021217,           0.0076735,           0.0076735,           0.0076735
                  96,            0.076627,           0.0094535,            0.017535,             0.78386,             0.26465,             0.29121,            0.087894,            0.085693,            0.014145,            0.021103,           0.0076488,           0.0076488,           0.0076488
                  97,            0.072062,           0.0092639,            0.014279,             0.69233,             0.26259,             0.31968,            0.083817,            0.089323,             0.01327,            0.020271,            0.007624,            0.007624,            0.007624
                  98,            0.073769,           0.0093197,            0.013741,             0.75218,             0.33853,             0.35757,             0.10989,            0.086969,            0.013396,            0.021153,           0.0075993,           0.0075993,           0.0075993
                  99,            0.075218,            0.008318,            0.016913,             0.65833,             0.31803,             0.28855,            0.073666,            0.087116,            0.014963,            0.022276,           0.0075745,           0.0075745,           0.0075745
                 100,             0.07509,             0.00997,            0.017122,             0.70267,             0.27717,             0.33731,             0.10459,            0.085236,            0.015492,            0.022835,           0.0075498,           0.0075498,           0.0075498
                 101,            0.077422,           0.0097014,            0.016987,             0.99631,             0.18938,             0.29636,            0.082215,            0.094859,             0.01403,            0.023882,            0.007525,            0.007525,            0.007525
                 102,            0.073529,           0.0099411,            0.014377,             0.71294,             0.24208,             0.25968,             0.11494,            0.095084,            0.013476,             0.02136,           0.0075003,           0.0075003,           0.0075003
                 103,            0.075529,           0.0090907,            0.016269,             0.97882,             0.20238,             0.28555,            0.087878,            0.093468,            0.012995,            0.021685,           0.0074755,           0.0074755,           0.0074755
                 104,            0.073395,           0.0083117,            0.018572,             0.48061,             0.22866,             0.26912,            0.067602,            0.093807,            0.012753,            0.023536,           0.0074507,           0.0074507,           0.0074507
                 105,            0.073468,           0.0095184,            0.015863,             0.83658,             0.20238,             0.25277,            0.087801,            0.094342,            0.013844,            0.024294,            0.007426,            0.007426,            0.007426
                 106,            0.072391,           0.0088067,              0.0162,             0.84647,             0.22279,             0.26085,            0.089607,            0.092582,            0.014219,            0.023296,           0.0074013,           0.0074013,           0.0074013
                 107,            0.073444,             0.01066,            0.015728,             0.87589,             0.22279,             0.30604,            0.074478,            0.094086,            0.014441,            0.022281,           0.0073765,           0.0073765,           0.0073765
                 108,            0.070534,           0.0096584,             0.01406,             0.84695,             0.19898,             0.27375,            0.052399,            0.092844,            0.013733,            0.018613,           0.0073517,           0.0073517,           0.0073517
                 109,            0.074128,           0.0096047,            0.015001,             0.49133,             0.27041,              0.3124,             0.10154,            0.092897,              0.0144,            0.022282,            0.007327,            0.007327,            0.007327
                 110,            0.075706,           0.0088475,            0.018057,              0.5167,             0.15204,             0.19606,            0.056012,            0.096594,            0.014809,            0.019502,           0.0073023,           0.0073023,           0.0073023
                 111,            0.073627,           0.0098421,            0.014717,             0.62996,             0.13251,             0.19513,            0.082545,            0.088534,             0.01512,            0.020858,           0.0072775,           0.0072775,           0.0072775
                 112,            0.075734,           0.0097204,            0.015348,             0.72038,             0.23469,             0.32894,            0.099422,            0.087246,            0.016008,            0.025248,           0.0072527,           0.0072527,           0.0072527
                 113,            0.070237,           0.0099738,            0.016271,             0.95192,              0.2108,             0.30964,            0.084151,             0.08486,            0.015024,            0.025154,            0.007228,            0.007228,            0.007228
                 114,            0.069735,            0.009503,            0.017312,             0.74347,             0.24953,             0.30337,            0.067939,            0.091375,            0.014206,            0.026684,           0.0072033,           0.0072033,           0.0072033
                 115,               0.071,           0.0095904,            0.016029,             0.77222,             0.27539,             0.33047,            0.079828,            0.093634,            0.013408,            0.025661,           0.0071785,           0.0071785,           0.0071785
                 116,            0.070006,           0.0095043,             0.01411,               0.925,             0.22279,             0.25349,             0.10074,            0.096108,            0.014235,            0.026623,           0.0071538,           0.0071538,           0.0071538
                 117,            0.070759,           0.0090614,             0.01617,             0.90178,             0.22279,             0.29763,            0.081043,            0.094639,            0.013847,            0.022589,            0.007129,            0.007129,            0.007129
                 118,            0.072645,           0.0093937,            0.018289,             0.60565,             0.11565,             0.14805,            0.047545,            0.097314,            0.013996,             0.02568,           0.0071042,           0.0071042,           0.0071042
                 119,            0.074897,           0.0095892,            0.015917,              0.5402,             0.10374,             0.14666,            0.037056,             0.10419,            0.014806,             0.02321,           0.0070795,           0.0070795,           0.0070795
